country_name,year,election_date,iso2c,elec_id,elec_id_old,source,version_dataset,download_link,data_access,bibtex_key,do_file,folder_name,file_name,drop,drop2,swght,dwght,pwght,region,vote,part,part2,pid,pid2,pid3,pid4,pid5,pid6,pid7,pid8,pid9,pid10,pid11,pid12,pid13,pid_any,pid_any2,l_vote,l_part,stfdem,male,age,age2,lr_self,lr_A,lr_A2,lr_B,lr_B2,lr_C,lr_C2,lr_D,lr_E,lr_F,lr_G,lr_H,lr_H2,lr_I,lr_I2,lr_I3,lr_J,lr_K,lr_L,lr_M,lr_N,lr_O,lr_P,lr_Q,lr_R,lr_S,lr_T,lr_U,lr_V,lr_W,lr_Z,like_A,like_A2,like_B,like_B2,like_C,like_C2,like_D,like_E,like_F,like_G,like_H,like_I,like_J,like_K,like_L,like_M,like_N,like_O,like_Q,like_W,like_V,like_Z
Sweden,2018,2018-09-09,SE,SE-2018-09,,CSES 5,2021,https://cses.org/data-download/cses-module-5-2016-2021/,1,CSES5,,cses5,cses5.dta,E1004,,E1010_1,E1010_2,E1010_3,,E3013_LH_PL,E3012_LH,,E3024_3,,,,,,,,,,,,,E3024_1,E3024_2,E3015_LH_PL,E3014_LH,E3023,E2002,E2001_Y,,E3020,E3019_A,,E3019_B,,E3019_C,,E3019_D,E3019_E,E3019_F,E3019_G,E3019_H,,E3019_I,,,,,,,,,,,,,,,,,,E3017_A,,E3017_B,,E3017_C,,E3017_D,E3017_E,E3017_F,E3017_G,E3017_H,E3017_I,,,,,,,,,,
Switzerland,1987,1987-10-18,CH,CH-1987-10,CH.1987,"Selects: Swiss national election studies, cumulated file 1971-2015 [Dataset]",1,https://forsbase.unil.ch/project/study-public-overview/14738/0/,3,NES_CH_1971-2015,20201027_nes_recodes.do,ch_long_selects,495_Selects_CumulativeFile_Data_1971-2015_v1.0.dta,year,,,weightc,,,vdn1b,vp1,,pid2b,,,,,,,,,,,,,,,vdr1b,vp2,,sex,age,,lr1,lr3,,lr2,,lr4,,lr5,lr7,,lr10,lr12,,lr6,,,,lr11,lr9,lr14,lr15,,,,,,,,,,,sypa1,,sypa2,,sypa3,,sypa4,sypa5,sypa6,sypa7,sypa8,sypa9,sypa10,sypa11,,,,,,,,
Switzerland,1991,1991-10-20,CH,CH-1991-10,CH.1991,"Selects: Swiss national election studies, cumulated file 1971-2015 [Dataset]",1,https://forsbase.unil.ch/project/study-public-overview/14738/0/,3,NES_CH_1971-2015,20201027_nes_recodes.do,ch_long_selects,495_Selects_CumulativeFile_Data_1971-2015_v1.0.dta,year,,,weightc,,,vdn1b,vp1,,pid2b,,,,,,,,,,,,,,,vdr1b,vp2,,sex,age,,lr1,lr3,,lr2,,lr4,,lr5,lr7,,lr10,lr12,,lr6,,,,lr11,lr9,lr14,lr15,,,,,,,,,,,sypa1,,sypa2,,sypa3,,sypa4,sypa5,sypa6,sypa7,sypa8,sypa9,sypa10,sypa11,,,,,,,,
Switzerland,1995,1995-10-22,CH,CH-1995-10,CH.1995,"Selects: Swiss national election studies, cumulated file 1971-2015 [Dataset]",1,https://forsbase.unil.ch/project/study-public-overview/14738/0/,3,NES_CH_1971-2015,20201027_nes_recodes.do,ch_long_selects,495_Selects_CumulativeFile_Data_1971-2015_v1.0.dta,year,,,weightc,,,vdn1b,vp1,,pid2b,,,,,,,,,,,,,,,vdr1b,vp2,,sex,age,,lr1,lr3,,lr2,,lr4,,lr5,lr7,,lr10,lr12,,lr6,,,,lr11,lr9,lr14,lr15,,,,,,,,,,,sypa1,,sypa2,,sypa3,,sypa4,sypa5,sypa6,sypa7,sypa8,sypa9,sypa10,sypa11,,,,,,,,
Switzerland,1999,1999-10-24,CH,CH-1999-10,CH.1999,"Selects: Swiss national election studies, cumulated file 1971-2015 [Dataset]",1,https://forsbase.unil.ch/project/study-public-overview/14738/0/,3,NES_CH_1971-2015,20201027_nes_recodes.do,ch_long_selects,495_Selects_CumulativeFile_Data_1971-2015_v1.0.dta,year,,,weightc,,,vdn1b,vp1,,pid2b,,,,,,,,,,,,,,,vdr1b,vp2,,sex,age,,lr1,lr3,,lr2,,lr4,,lr5,lr7,,lr10,lr12,,lr6,,,,lr11,lr9,lr14,lr15,,,,,,,,,,,sypa1,,sypa2,,sypa3,,sypa4,sypa5,sypa6,sypa7,sypa8,sypa9,sypa10,sypa11,,,,,,,,
Switzerland,2003,2003-10-19,CH,CH-2003-10,CH.2003,"Selects: Swiss national election studies, cumulated file 1971-2015 [Dataset]",1,https://forsbase.unil.ch/project/study-public-overview/14738/0/,3,NES_CH_1971-2015,20201027_nes_recodes.do,ch_long_selects,495_Selects_CumulativeFile_Data_1971-2015_v1.0.dta,year,,,weightc,,,vdn1b,vp1,,pid2b,,,,,,,,,,,,,,,vdr1b,vp2,,sex,age,,lr1,lr3,,lr2,,lr4,,lr5,lr7,,lr10,lr12,,lr6,,,,lr11,lr9,lr14,lr15,,,,,,,,,,,sypa1,,sypa2,,sypa3,,sypa4,sypa5,sypa6,sypa7,sypa8,sypa9,sypa10,sypa11,,,,,,,,
Switzerland,2007,2007-10-21,CH,CH-2007-10,CH.2007,"Selects: Swiss national election studies, cumulated file 1971-2015 [Dataset]",1,https://forsbase.unil.ch/project/study-public-overview/14738/0/,3,NES_CH_1971-2015,20201027_nes_recodes.do,ch_long_selects,495_Selects_CumulativeFile_Data_1971-2015_v1.0.dta,year,,,weightc,,,vdn1b,vp1,,pid2b,,,,,,,,,,,,,,,vdr1b,vp2,,sex,age,,lr1,lr3,,lr2,,lr4,,lr5,lr7,,lr10,lr12,,lr6,,,,lr11,lr9,lr14,lr15,,,,,,,,,,,sypa1,,sypa2,,sypa3,,sypa4,sypa5,sypa6,sypa7,sypa8,sypa9,sypa10,sypa11,,,,,,,,
Switzerland,2011,2011-10-23,CH,CH-2011-10,CH.2011,"Selects: Swiss national election studies, cumulated file 1971-2015 [Dataset]",1,https://forsbase.unil.ch/project/study-public-overview/14738/0/,3,NES_CH_1971-2015,20201027_nes_recodes.do,ch_long_selects,495_Selects_CumulativeFile_Data_1971-2015_v1.0.dta,year,,,weightc,,,vdn1b,vp1,,pid2b,,,,,,,,,,,,,,,vdr1b,vp2,,sex,age,,lr1,lr3,,lr2,,lr4,,lr5,lr7,,lr10,lr12,,lr6,,,,lr11,lr9,lr14,lr15,,,,,,,,,,,sypa1,,sypa2,,sypa3,,sypa4,sypa5,sypa6,sypa7,sypa8,sypa9,sypa10,sypa11,,,,,,,,
Switzerland,2015,2015-10-18,CH,CH-2015-10,CH.2015,"Selects: Swiss national election studies, cumulated file 1971-2015 [Dataset]",1,https://forsbase.unil.ch/project/study-public-overview/14738/0/,3,NES_CH_1971-2015,20201027_nes_recodes.do,ch_long_selects,495_Selects_CumulativeFile_Data_1971-2015_v1.0.dta,year,,,weightc,,,vdn1b,vp1,,pid2b,,,,,,,,,,,,,,,vdr1b,vp2,,sex,age,,lr1,lr3,,lr2,,lr4,,lr5,lr7,,lr10,lr12,,lr6,,,,lr11,lr9,lr14,lr15,,,,,,,,,,,sypa1,,sypa2,,sypa3,,sypa4,sypa5,sypa6,sypa7,sypa8,sypa9,sypa10,sypa11,,,,,,,,
Switzerland,2019,2019-10-20,CH,CH-2019-10,CH.2019,Selects 2019 Post-Election Survey,1,https://forsbase.unil.ch/datasets/dataset-public-detail/16968/2077/,3,NES_CH_2019,20210120_nes_recodes_new_data.do,ch2019,1179_Selects2019_PES_Data_v1.0.0.dta,,,,,,,f11800rec,f11100rec,,f14010rec,,,,,,,,,,,,,,,f10300rec,f10200rec,f13700,sex,age,,f15200,f15130a,,f15130b,,f15130c,,f15130d,f15130e,f15130f,f15130g,f15130h,,f15130i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,2011,2011-06-12,TR,TR-2011-06,TR.2011,CSES 3,1,https://cses.org/data-download/cses-module-3-2006-2011-2/,1,CSES3,20201027_cses_recodes.do,cses3,cses3.dta,C1004,,C1010_1,C1010_2,C1010_3,,C3023_LH_PL,C3021_1,,C3020_3,,,,,,,,,,,,,C3020_1,C3020_2,C3032_LH_PL,C3031,C3019,C2002,C2001,,C3013,C3011_A,,C3011_B,,C3011_C,,C3011_D,C3011_E,C3011_F,C3011_G,C3011_H,,C3011_I,,,,,,,,,,,,,,,,,,C3009_A,,C3009_B,,C3009_C,,C3009_D,C3009_E,C3009_F,C3009_G,C3009_H,C3009_I,,,,,,,,,,
Turkey,2015,2015-06-07,TR,TR-2015-06,TR.201506,CSES 4,2018,https://cses.org/data-download/module-4-2011-2016/,1,CSES4,20201027_cses_recodes.do,cses4,cses4.dta,D1004,,D1010_1,D1010_2,D1010_3,,D3006_LH_PL,D3005_LH,,D3018_3,,,,,,,,,,,,,D3018_1,D3018_2,D3008_LH_PL,D3007_LH,D3017,D2002,D2001_Y,,D3014,D3013_A,,D3013_B,,D3013_C,,D3013_D,D3013_E,D3013_F,,,,,,,,,,,,,,,,,,,,,,D3011_A,,D3011_B,,D3011_C,,D3011_D,D3011_E,D3011_F,,,,,,,,,,,,,
Turkey,2018,2018-06-24,TR,TR-2018-06,TR.2018,CSES 5,2020,https://cses.org/data-download/cses-module-5-2016-2021/,1,CSES5,20201027_cses_recodes.do,cses5,cses5.dta,E1004,,E1010_1,E1010_2,E1010_3,,E3013_LH_PL,E3012_LH,,E3024_3,,,,,,,,,,,,,E3024_1,E3024_2,E3015_LH_PL,E3014_LH,E3023,E2002,E2001_Y,,E3020,E3019_A,,E3019_B,,E3019_C,,E3019_D,E3019_E,E3019_F,,,,,,,,,,,,,,,,,,,,,,E3017_A,,E3017_B,,E3017_C,,E3017_D,E3017_E,E3017_F,,,,,,,,,,,,,
United Kingdom,1974,1974-02-28,GB,GB-1974-02,GB.197402,The European Voter Database,1,https://search.gesis.org/research_data/ZA3911,3,EVP_1973-1998,20201027_nes_recodes.do,gb197402,ZA3911_gb_1974f.dta,,,,,,,vote,,,pid,,,,,,,,,,,,,,,vote1ago,,,sex,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symp1,,symp2,,symp3,,,,,,,,,,,,,,,,,
United Kingdom,1974,1974-10-10,GB,GB-1974-10,GB.197410,The European Voter Database,1,https://search.gesis.org/research_data/ZA3911,3,EVP_1973-1998,20201027_nes_recodes.do,gb197410,ZA3911_gb_1974o.dta,,,,,,,vote,,,pid,,,,,,,,,,,,,,,vote1ago,,,sex,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symp1,,symp2,,symp3,,,,,,,,,,,,,,,,,
United Kingdom,1979,1979-05-03,GB,GB-1979-05,GB.1979,The European Voter Database,1,https://search.gesis.org/research_data/ZA3911,3,EVP_1973-1998,20201027_nes_recodes.do,gb1979,ZA3911_gb_1979.dta,,,,weight,,,vote,,,pid,,,,,,,,,,,,,,,vote1ago,,,sex,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symp1,,symp2,,symp3,,,,,,,,,,,,,,,,,
United Kingdom,1983,1983-06-09,GB,GB-1983-06,GB.1983,The European Voter Database,1,https://search.gesis.org/research_data/ZA3911,3,EVP_1973-1998,20201027_nes_recodes.do,gb1983,ZA3911_gb_1983.dta,,,,weight,,,vote,,,pid,,,,,,,,,,,,,,,vote1ago,,,sex,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symp1,,symp2,,symp3,,,,,,,,,,,,,,,,,
United Kingdom,1987,1987-06-11,GB,GB-1987-06,GB.1987,The European Voter Database,1,https://search.gesis.org/research_data/ZA3911,3,EVP_1973-1998,20201027_nes_recodes.do,gb1987,ZA3911_gb_1987.dta,,,,weight,,,vote,,,pid,,,,,,,,,,,,,,,vote1ago,,,sex,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symp1,,symp2,,symp3,,,,,,,,,,,,,,,,,
United Kingdom,1992,1992-04-09,GB,GB-1992-04,GB.1992,The European Voter Database,1,https://search.gesis.org/research_data/ZA3911,3,EVP_1973-1998,20201027_nes_recodes.do,gb1992,ZA3911_gb_1992.dta,,,,weight,,,vote,,,pid,,,,,,,,,,,,,,,vote1ago,,,sex,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symp1,,symp2,,symp3,,,,,,,,,,,,,,,,,
United Kingdom,1997,1997-05-01,GB,GB-1997-05,GB.1997,The European Voter Database,1,https://search.gesis.org/research_data/ZA3911,3,EVP_1973-1998,20201027_nes_recodes.do,gb1997,ZA3911_gb_1997.dta,,,,weight,,,vote,,,pid,,,,,,,,,,,,,,,vote1ago,,,sex,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symp1,,symp2,,symp3,,,,,,,,,,,,,,,,,
United Kingdom,2001,2001-06-07,GB,GB-2001-06,GB.2001,The European Voter Database,1,https://search.gesis.org/research_data/ZA3911,3,EVP_1973-1998,20201027_nes_recodes.do,gb2001,ZA3911_gb_2001.dta,,,,weight,,,vote,,,pid,,,,,,,,,,,,,,,vote1ago,,,sex,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symp1,,symp2,,symp3,,,,,,,,,,,,,,,,,
